Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R1911,35–44,"Single, no dependents",Metro (Tier 1),1,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"Below ₹10,000",Education|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Monthly,Pay Off Debt,1–10%,High Cost of Living|Overspending,1 – Not confident at all,3 – Sometimes,"No, but I want to","No, never used one",3 – Average,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,College Student / Early Career
R1912,55+,"Married, with children",Tier 2,4+,Salaried (Private),"Below ₹20,000",Irregular but manageable,"₹10,001–₹25,000",Groceries & Food|Healthcare,Rarely (1–2 times/month),I rarely spend impulsively,None,Rarely,Save for Vacation,Above 30%,Unexpected Expenses,1 – Not confident at all,2 – Rarely,"No, and I don't plan to","No, never used one",1 – Very Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Maybe,Retired / Senior Citizen
R1913,25–34,Joint family (supporting elders),Tier 2,4+,Freelancer or Gig Worker,"₹1,00,001–₹2,00,000",Highly unpredictable,"₹10,001–₹25,000","Entertainment & Dining Out|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence|Social pressure or peer influence,1–2,Rarely,"Children's Education|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",1–10%,No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","Yes, currently using one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Aspiring Digital-First Millennial
R1914,35–44,"Married, with children",Tier 3,4+,Unemployed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000","Education|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Never,I rarely spend impulsively,1–2,Never,Build Emergency Fund,0% (No savings),High Cost of Living|Overspending,1 – Not confident at all,3 – Sometimes,"No, but I want to",Used before but stopped,2 – Low,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Maybe,Middle-Income Family Provider
R1915,25–34,"Married, no children",Tier 2,3,Salaried (Private),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000","Other|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Celebrations or festivals|Emotional stress or boredom,1–2,Monthly,Build Emergency Fund|Children's Education,1–10%,High Cost of Living,2 – Slightly confident,5 – Almost always,"No, but I want to","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Middle-Income Family Provider
R1916,25–34,Joint family (supporting elders),Metro (Tier 1),2,Salaried (Private),"Above ₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000","Entertainment & Dining Out|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",3–5,Rarely,Children's Education|Invest & Grow Wealth|Save for Vacation,1–10%,High Cost of Living|Unexpected Expenses,1 – Not confident at all,5 – Almost always,"No, but I want to","Yes, currently using one",3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Definitely Yes,High-Income Low-Awareness Spender
R1917,55+,"Married, with children",Rural,2,Retired,"Below ₹20,000",Very stable (fixed salary),"₹10,001–₹25,000",Transportation,Rarely (1–2 times/month),Celebrations or festivals,1–2,Monthly,No Specific Goal|Retirement Planning,11–20%,No Budgeting Discipline,4 – Very confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Very uncomfortable,Subscription & Money Leak Detection,₹49–₹99,Maybe,Retired / Senior Citizen
R1918,35–44,"Married, no children",Rural,4+,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",3–5,Monthly,Build Emergency Fund|Invest & Grow Wealth,0% (No savings),Unexpected Expenses,4 – Very confident,3 – Sometimes,"No, and I don't plan to",Used before but stopped,3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely No,Small Town Conservative Saver
R1919,55+,"Married, with children",Metro (Tier 1),4+,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000","EMIs & Loan Repayments|Education|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Social pressure or peer influence,1–2,Quarterly,"Children's Education|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,High Cost of Living|Low or Irregular Income,4 – Very confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Subscription & Money Leak Detection,₹100–₹199,Maybe,Middle-Income Family Provider
R1920,45–54,"Married, no children",Metro (Tier 1),3,Salaried (Private),"₹1,00,001–₹2,00,000",Highly unpredictable,"₹25,001–₹50,000",EMIs & Loan Repayments|Entertainment & Dining Out|Groceries & Food,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",3–5,Quarterly,Pay Off Debt,Above 30%,High EMIs or Debt,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Maybe,Middle-Income Family Provider
R1921,25–34,Joint family (supporting elders),Metro (Tier 1),2,Student,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out,Often (6+ times/month),"Flash sales, discounts & offers|Social media influence",6+,Quarterly,"No Specific Goal|Save for Major Purchase (Home, Car)",11–20%,No Budgeting Discipline,5 – Extremely confident,5 – Almost always,"Yes, loosely","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹200–₹499,Maybe,High-Income Low-Awareness Spender
R1922,35–44,"Single, no dependents",Metro (Tier 1),1,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Entertainment & Dining Out|Rent & Housing,Sometimes (3–5 times/month),Emotional stress or boredom|Social media influence,1–2,Weekly,Build Emergency Fund|Invest & Grow Wealth|No Specific Goal,11–20%,No Budgeting Discipline,5 – Extremely confident,3 – Sometimes,"No, but I want to","No, never used one",3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹200–₹499,Definitely Yes,Young Urban Professional
R1923,18–24,"Single, with dependents",Tier 3,2,Unemployed,"₹20,001–₹50,000",Very stable (fixed salary),"Below ₹10,000",EMIs & Loan Repayments|Education|Transportation,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",1–2,Quarterly,Build Emergency Fund|Children's Education,11–20%,High Cost of Living|Low or Irregular Income,4 – Very confident,4 – Often,"No, and I don't plan to","No, never used one",4 – High,Very uncomfortable,Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Small Town Conservative Saver
R1924,35–44,"Single, with dependents",Tier 3,2,Unemployed,"₹50,001–₹1,00,000",Highly unpredictable,"₹10,001–₹25,000",Education|Healthcare|Rent & Housing,Rarely (1–2 times/month),Emotional stress or boredom,3–5,Monthly,Children's Education|Save for Vacation,21–30%,Overspending,5 – Extremely confident,5 – Almost always,"No, and I don't plan to","Yes, currently using one",3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹200–₹499,Maybe,Middle-Income Family Provider
R1925,35–44,"Married, with children",Tier 3,1,Salaried (Private),"Below ₹20,000",Irregular but manageable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Transportation,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Rarely,Pay Off Debt,Above 30%,Low or Irregular Income|Unexpected Expenses,2 – Slightly confident,4 – Often,"Yes, strictly",Used before but stopped,3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,Gig Worker / Irregular Income
R1926,25–34,"Married, with children",Tier 2,3,Self-employed,"Above ₹2,00,000",Mostly stable with some variation,"Above ₹1,00,000",Entertainment & Dining Out|Shopping & Fashion,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Rarely,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,Overspending,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹0 (Free only),Probably Yes,Young Urban Professional
R1927,18–24,"Married, with children",Rural,2,Retired,"Below ₹20,000",Highly unpredictable,"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food,Rarely (1–2 times/month),Celebrations or festivals,6+,Never,Children's Education|Retirement Planning,11–20%,Lack of Financial Knowledge,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",1 – Very Low,Neutral,Financial Health Score with Peer Benchmarking,₹0 (Free only),Definitely No,Small Town Conservative Saver
R1928,25–34,"Married, with children",Metro (Tier 1),2,Salaried (Private),"Above ₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Groceries & Food,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",None,Quarterly,"Build Emergency Fund|Pay Off Debt|Save for Major Purchase (Home, Car)",1–10%,High Cost of Living|Lack of Financial Knowledge,2 – Slightly confident,3 – Sometimes,"No, and I don't plan to","No, never used one",4 – High,Neutral,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Middle-Income Family Provider
R1929,18–24,Joint family (supporting elders),Rural,3,Unemployed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Groceries & Food|Other|Transportation,Never,I rarely spend impulsively,1–2,Rarely,"Save for Major Purchase (Home, Car)|Save for Vacation",1–10%,Low or Irregular Income,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Subscription & Money Leak Detection,₹0 (Free only),Maybe,Small Town Conservative Saver
R1930,25–34,Joint family (supporting elders),Tier 2,2,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Groceries & Food|Rent & Housing|Transportation,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)",3–5,Monthly,Build Emergency Fund|Invest & Grow Wealth,11–20%,High Cost of Living|Overspending,2 – Slightly confident,5 – Almost always,"Yes, loosely","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹100–₹199,Definitely Yes,Young Urban Professional
R1931,35–44,Joint family (supporting elders),Tier 2,2,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"₹50,001–₹1,00,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Never,I rarely spend impulsively,3–5,Never,"Children's Education|Save for Major Purchase (Home, Car)",Above 30%,Unexpected Expenses,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",2 – Low,Neutral,Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Small Town Conservative Saver
R1932,35–44,"Single, no dependents",Metro (Tier 1),0,Salaried (Government),"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000",EMIs & Loan Repayments|Groceries & Food|Transportation,Sometimes (3–5 times/month),Celebrations or festivals|I rarely spend impulsively,3–5,Monthly,Save for Vacation,21–30%,Lack of Financial Knowledge,3 – Moderately confident,1 – Never,"Yes, strictly","No, never used one",3 – Average,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably No,Small Town Conservative Saver
R1933,45–54,"Married, no children",Rural,2,Retired,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹10,001–₹25,000",EMIs & Loan Repayments|Healthcare|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",None,Quarterly,"Save for Major Purchase (Home, Car)",11–20%,Unexpected Expenses,4 – Very confident,3 – Sometimes,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,Small Town Conservative Saver
R1934,25–34,"Married, no children",Rural,0,Salaried (Private),"₹50,001–₹1,00,000",Irregular but manageable,"₹50,001–₹1,00,000",Education|Groceries & Food,Sometimes (3–5 times/month),I rarely spend impulsively,None,Rarely,"Build Emergency Fund|Pay Off Debt|Save for Major Purchase (Home, Car)",1–10%,High Cost of Living|Low or Irregular Income,1 – Not confident at all,3 – Sometimes,"Yes, loosely","No, never used one",2 – Low,Very uncomfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Probably Yes,Small Town Conservative Saver
R1935,35–44,"Married, no children",Tier 3,4+,Self-employed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Rent & Housing|Transportation,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",6+,Rarely,"No Specific Goal|Retirement Planning|Save for Major Purchase (Home, Car)",21–30%,No Budgeting Discipline|Overspending,5 – Extremely confident,2 – Rarely,"No, and I don't plan to","No, never used one",5 – Very High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹200–₹499,Definitely No,High-Income Low-Awareness Spender
R1936,25–34,"Married, no children",Tier 3,1,Self-employed,"Below ₹20,000",Irregular but manageable,"Below ₹10,000",Entertainment & Dining Out|Groceries & Food|Transportation,Rarely (1–2 times/month),Social pressure or peer influence,1–2,Weekly,"Save for Major Purchase (Home, Car)",0% (No savings),Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,1 – Never,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Gig Worker / Irregular Income
R1937,25–34,"Married, with children",Tier 3,2,Unemployed,"Below ₹20,000",Irregular but manageable,"₹10,001–₹25,000","Healthcare|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Never,"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",6+,Quarterly,Build Emergency Fund|Save for Vacation,11–20%,Overspending,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,College Student / Early Career
R1938,35–44,"Single, no dependents",Tier 3,0,Salaried (Private),"₹50,001–₹1,00,000",Highly unpredictable,"₹50,001–₹1,00,000",Groceries & Food|Shopping & Fashion|Transportation,Often (6+ times/month),Emotional stress or boredom|Social pressure or peer influence,None,Monthly,Build Emergency Fund|Invest & Grow Wealth|Retirement Planning,21–30%,Lack of Financial Knowledge,4 – Very confident,4 – Often,"Yes, loosely","No, never used one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Gig Worker / Irregular Income
R1939,35–44,Joint family (supporting elders),Tier 3,3,Student,"₹20,001–₹50,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments|Education|Groceries & Food,Rarely (1–2 times/month),I rarely spend impulsively,3–5,Quarterly,"Children's Education|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,No Budgeting Discipline,4 – Very confident,4 – Often,"Yes, loosely","No, never used one",4 – High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Maybe,Middle-Income Family Provider
R1940,35–44,"Married, no children",Metro (Tier 1),2,Self-employed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Emotional stress or boredom|Social media influence,None,Never,"Save for Major Purchase (Home, Car)",21–30%,No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","Yes, currently using one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Young Urban Professional
R1941,25–34,"Single, no dependents",Metro (Tier 1),0,Self-employed,"₹50,001–₹1,00,000",Irregular but manageable,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Entertainment & Dining Out|Transportation,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",6+,Weekly,Invest & Grow Wealth,21–30%,Lack of Financial Knowledge|No Budgeting Discipline,3 – Moderately confident,2 – Rarely,"No, but I want to",Used before but stopped,5 – Very High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Probably No,Young Urban Professional
R1942,25–34,"Married, with children",Tier 3,2,Student,"₹50,001–₹1,00,000",Mostly stable with some variation,"Below ₹10,000",Education|Entertainment & Dining Out|Groceries & Food,Sometimes (3–5 times/month),Social media influence|Social pressure or peer influence,1–2,Rarely,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",11–20%,Low or Irregular Income,2 – Slightly confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,College Student / Early Career
R1943,55+,"Single, with dependents",Metro (Tier 1),0,Retired,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Shopping & Fashion,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Monthly,Build Emergency Fund,11–20%,High EMIs or Debt|Unexpected Expenses,2 – Slightly confident,5 – Almost always,"Yes, loosely","No, never used one",4 – High,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Maybe,Gig Worker / Irregular Income
R1944,35–44,"Married, no children",Metro (Tier 1),2,Salaried (Government),"Above ₹2,00,000",Mostly stable with some variation,"Above ₹1,00,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence|Social pressure or peer influence,3–5,Never,Invest & Grow Wealth|Pay Off Debt|Save for Vacation,Above 30%,High Cost of Living|No Budgeting Discipline,4 – Very confident,1 – Never,"No, and I don't plan to",Used before but stopped,2 – Low,Neutral,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹200–₹499,Definitely No,High-Income Low-Awareness Spender
R1945,18–24,"Married, no children",Tier 3,0,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"₹50,001–₹1,00,000",Groceries & Food|Rent & Housing,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",1–2,Weekly,"Save for Major Purchase (Home, Car)|Save for Vacation",11–20%,High EMIs or Debt|Low or Irregular Income,2 – Slightly confident,4 – Often,"No, and I don't plan to","No, never used one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely Yes,Gig Worker / Irregular Income
R1946,25–34,Joint family (supporting elders),Tier 2,4+,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Groceries & Food|Transportation,Rarely (1–2 times/month),Emotional stress or boredom|Social pressure or peer influence,3–5,Quarterly,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,Overspending|Unexpected Expenses,5 – Extremely confident,5 – Almost always,"Yes, strictly",Used before but stopped,2 – Low,Neutral,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹100–₹199,Maybe,Middle-Income Family Provider
R1947,35–44,"Married, with children",Tier 3,2,Retired,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000",Rent & Housing|Transportation,Sometimes (3–5 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",3–5,Quarterly,Children's Education|Pay Off Debt|Save for Vacation,21–30%,High EMIs or Debt|Unexpected Expenses,2 – Slightly confident,5 – Almost always,"No, but I want to","Yes, currently using one",3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Definitely Yes,Middle-Income Family Provider
R1948,25–34,"Married, with children",Tier 2,1,Self-employed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000","Education|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Never,Social media influence,3–5,Quarterly,"Build Emergency Fund|No Specific Goal|Save for Major Purchase (Home, Car)",21–30%,High EMIs or Debt|Lack of Financial Knowledge,5 – Extremely confident,2 – Rarely,"No, but I want to","Yes, currently using one",3 – Average,Neutral,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Definitely Yes,Young Urban Professional
R1949,18–24,"Single, no dependents",Metro (Tier 1),0,Freelancer or Gig Worker,"Above ₹2,00,000",Mostly stable with some variation,"Below ₹10,000","Education|Subscriptions (OTT, Gym, etc.)|Transportation",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",6+,Rarely,No Specific Goal|Pay Off Debt|Save for Vacation,1–10%,Low or Irregular Income,4 – Very confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,College Student / Early Career
R1950,35–44,"Married, with children",Metro (Tier 1),3,Salaried (Government),"₹50,001–₹1,00,000",Irregular but manageable,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Groceries & Food,Sometimes (3–5 times/month),"Flash sales, discounts & offers",3–5,Monthly,"Build Emergency Fund|Children's Education|Save for Major Purchase (Home, Car)",0% (No savings),High EMIs or Debt|Unexpected Expenses,2 – Slightly confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Somewhat comfortable,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Middle-Income Family Provider
R1951,55+,"Single, no dependents",Metro (Tier 1),1,Self-employed,"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Shopping & Fashion,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",6+,Weekly,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",21–30%,High EMIs or Debt|No Budgeting Discipline,3 – Moderately confident,4 – Often,"Yes, loosely",Used before but stopped,2 – Low,Somewhat comfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,Young Urban Professional
R1952,18–24,"Single, no dependents",Tier 2,0,Student,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food|Transportation,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Rarely,Invest & Grow Wealth|No Specific Goal,11–20%,Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, and I don't plan to","No, never used one",5 – Very High,Neutral,Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Maybe,College Student / Early Career
R1953,25–34,Joint family (supporting elders),Tier 3,4+,Unemployed,"Below ₹20,000",Mostly stable with some variation,"Below ₹10,000",Education|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)",None,Quarterly,Invest & Grow Wealth,21–30%,High Cost of Living|Low or Irregular Income,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely No,Small Town Conservative Saver
R1954,45–54,"Single, no dependents",Metro (Tier 1),0,Self-employed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",6+,Quarterly,Save for Vacation,1–10%,No Budgeting Discipline|Overspending,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",2 – Low,Neutral,Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,High-Income Low-Awareness Spender
R1955,25–34,"Single, no dependents",Tier 3,0,Freelancer or Gig Worker,"₹1,00,001–₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000","Groceries & Food|Subscriptions (OTT, Gym, etc.)|Transportation",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Quarterly,Build Emergency Fund,Above 30%,Overspending,4 – Very confident,4 – Often,"Yes, loosely",Used before but stopped,4 – High,Very comfortable,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹49–₹99,Definitely No,Aspiring Digital-First Millennial
R1956,25–34,"Single, no dependents",Tier 3,0,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Education|Rent & Housing|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",6+,Weekly,Invest & Grow Wealth|Retirement Planning,11–20%,High Cost of Living|High EMIs or Debt,4 – Very confident,5 – Almost always,"No, but I want to",Used before but stopped,4 – High,Somewhat comfortable,Subscription & Money Leak Detection,₹500+,Definitely Yes,Aspiring Digital-First Millennial
R1957,25–34,"Married, with children",Tier 3,1,Unemployed,"₹20,001–₹50,000",Highly unpredictable,"₹25,001–₹50,000",Education|Groceries & Food|Healthcare,Often (6+ times/month),"Flash sales, discounts & offers|Social pressure or peer influence",1–2,Rarely,"Children's Education|Pay Off Debt|Save for Major Purchase (Home, Car)",21–30%,Unexpected Expenses,2 – Slightly confident,1 – Never,"Yes, loosely","No, never used one",4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably No,Small Town Conservative Saver
